video_id,title,published_at,period,duration,view_count,comment_count,youtube_url,current_db_label,review_label,needs_review,candidate_confidence,label_status,labeler,labeled_at,notes,evidence
CadeacWgyk0,神默契的居家花式特技！在家防疫的高效率日常！#好家在我在家｜The DoDo Men 嘟嘟人,2021-05-23T10:00:11Z,pre,PT6M,151239,581,https://www.youtube.com/watch?v=CadeacWgyk0,collab,collab,False,,,human,2026-05-02 17:50:27,,
AUk4A-jUx1o,防疫在家超窄屋頂跑到全身殘廢！？直接破人生紀錄！｜The DoDo Men 嘟嘟人,2021-05-26T13:00:14Z,pre,PT14M,291454,495,https://www.youtube.com/watch?v=AUk4A-jUx1o,collab,collab,False,,,human,2026-05-02 17:50:27,,
fdgARDzCcn0,直接上垃圾車幫民眾收垃圾！台灣焚化廠也太像美國科技公司了吧！？原來這些東西都不能回收！？｜The DoDo Men 嘟嘟人,2021-06-02T13:00:11Z,pre,PT17M40S,990220,858,https://www.youtube.com/watch?v=fdgARDzCcn0,collab,collab,False,,,human,2026-05-02 17:50:27,,
Vz0_2P4Vdyo,超多人有這共同煩惱！幫忙解決粉絲的疑難雜症！唯一這煩惱我們無解...｜The DoDo Men 嘟嘟人,2021-06-09T13:00:13Z,pre,PT20M56S,119952,257,https://www.youtube.com/watch?v=Vz0_2P4Vdyo,collab,collab,False,,,human,2026-05-02 17:50:27,,
_Zx0kVMRiWw,BTS (防彈少年團) 'Butter' 舞蹈挑戰！居家低成本拍出相似度99%的MV！？| The DoDo Men 嘟嘟人,2021-06-16T13:00:13Z,pre,PT14M40S,480042,2688,https://www.youtube.com/watch?v=_Zx0kVMRiWw,collab,collab,False,,,human,2026-05-02 17:50:27,,
g_OAwryV70U,從矽谷離職一年後，到底得到了什麼？意見不合差點為了一個女YouTuber解散！？｜The DoDo Men 嘟嘟人,2021-06-23T13:00:15Z,pre,PT21M55S,655293,795,https://www.youtube.com/watch?v=g_OAwryV70U,collab,collab,False,,,human,2026-05-02 17:50:27,,
IVqSR_1kTNE,為了避免懲罰使出渾身解術！最後竟然靠這一招獲勝！壓克力畫挑戰｜The DoDo Men 嘟嘟人,2021-06-30T13:00:13Z,pre,PT18M52S,213308,311,https://www.youtube.com/watch?v=IVqSR_1kTNE,collab,collab,False,,,human,2026-05-02 17:50:27,,
ds2o-v2so8w,來自義大利的咖啡師煮得卻超難喝！？日曬水洗深焙中焙淺焙手沖法式壓縮虹吸煮法到底有什麼差別？｜The DoDo Men 嘟嘟人,2021-07-07T13:00:17Z,pre,PT14M43S,233954,569,https://www.youtube.com/watch?v=ds2o-v2so8w,collab,collab,False,,,human,2026-05-02 17:50:27,,
AXIA2_i0NEU,疫情在家互剪頭髮互相傷害！結果悲劇收場！｜嘟嘟人 The DoDo Men,2021-07-14T13:00:08Z,pre,PT14M14S,305856,687,https://www.youtube.com/watch?v=AXIA2_i0NEU,collab,collab,False,,,human,2026-05-02 17:50:27,,
D0o3BE7Knzw,回美國前的最後演出！從零開始到自彈自唱！ 三十萬訂閱特別企劃！｜The DoDo Men 嘟嘟人,2021-07-21T13:00:09Z,pre,PT22M42S,222394,530,https://www.youtube.com/watch?v=D0o3BE7Knzw,collab,collab,False,,,human,2026-05-02 17:50:27,,
uyv4cpD7ktA,【三十萬訂閱音樂會】YT小巨蛋吉他表演處女秀！粉絲為了獎品在家跑馬拉松！｜The DoDo Men 嘟嘟人 x 統一陽光,2021-07-28T14:53:26Z,pre,PT1H47M10S,300659,480,https://www.youtube.com/watch?v=uyv4cpD7ktA,collab,collab,False,,,human,2026-05-02 17:50:27,,
nSH_bBJjh_E,終於找到減肥成功的方法！ 180天體態改造企劃！克服小時候的夢魘！｜The DoDo Men 嘟嘟人,2021-08-04T13:00:09Z,pre,PT15M48S,573414,891,https://www.youtube.com/watch?v=nSH_bBJjh_E,eric,eric,False,,,human,2026-05-02 17:50:27,,
wkYF8Ywc7HA,2021蘋果 M1 iMac開箱！蘋果工程師來講解蘋果包裝的設計有多變態！ ｜The DoDo Men 嘟嘟人,2021-08-11T13:00:34Z,pre,PT15M11S,2060259,2324,https://www.youtube.com/watch?v=wkYF8Ywc7HA,ian,ian,False,,,human,2026-05-02 17:50:27,,
u6Gt3gxHbS4,台灣LINE辦公室的福利竟然比蘋果好！HR直接透露提高錄取率的方法！連我們都想來上班！｜The DoDo Men 嘟嘟人,2021-08-18T13:00:24Z,pre,PT17M15S,458516,343,https://www.youtube.com/watch?v=u6Gt3gxHbS4,collab,collab,False,,,human,2026-05-02 17:50:27,,
ciYYsctgmdU,DIY大改造台北住所！升級之後的夢幻工作室超搶手！｜The DoDo Men 嘟嘟人,2021-08-25T13:00:31Z,pre,PT19M47S,461580,400,https://www.youtube.com/watch?v=ciYYsctgmdU,collab,collab,False,,,human,2026-05-02 17:50:27,,
inZZEP3Mc-8,為什麼我們要回美國？來聊聊頻道的未來...公佈大消息！｜The DoDo Men 嘟嘟人,2021-09-01T13:00:35Z,pre,PT18M16S,1001135,1422,https://www.youtube.com/watch?v=inZZEP3Mc-8,collab,collab,False,,,human,2026-05-02 17:50:27,,
WpvOj3-djRM,廚房菜鳥耗費$200美金製作高級料理！VIP客人竟給五星好評！？｜The DoDo Men 嘟嘟人,2021-09-08T13:00:30Z,pre,PT23M18S,496202,876,https://www.youtube.com/watch?v=WpvOj3-djRM,collab,collab,False,,,human,2026-05-02 17:50:27,,
e_UPAEmeatI,在全美最少遊客的地方待三天！熱情當地人狂推超美秘境！這根本是美國必去吧！？｜The DoDo Men 嘟嘟人,2021-09-15T13:00:30Z,pre,PT22M19S,1645269,2628,https://www.youtube.com/watch?v=e_UPAEmeatI,collab,collab,False,,,human,2026-05-02 17:50:27,,
txcAlLD0Rb0,矇眼射美國地圖決定去哪！結果超冷門！這輩子都沒想過會來到這裡！｜The DoDo Men 嘟嘟人,2021-09-22T13:00:25Z,pre,PT25M46S,1570625,1628,https://www.youtube.com/watch?v=txcAlLD0Rb0,collab,collab,False,,,human,2026-05-02 17:50:27,,
bAiqrX_CU-w,UCLA超美校園開箱！好萊塢明星隨處可見！超奇怪的學校傳統？！｜The DoDo Men 嘟嘟人,2021-09-29T13:00:29Z,pre,PT17M38S,613459,574,https://www.youtube.com/watch?v=bAiqrX_CU-w,collab,collab,False,,,human,2026-05-02 17:50:27,,
HmQrCAArPsE,[YES MAN系列]在拉斯維加斯挑戰一整天只能說YES！差點跟西班牙美女上船！｜The DoDo Men 嘟嘟人,2021-10-06T13:00:07Z,pre,PT19M22S,862484,728,https://www.youtube.com/watch?v=HmQrCAArPsE,collab,collab,False,,,human,2026-05-02 17:50:27,,
2CSxZUTfre0,揭秘哈佛校園生活！哈佛學生都有的特質是…！？學生宿舍也太高級了吧！｜The DoDo Men 嘟嘟人,2021-10-13T13:00:03Z,pre,PT21M27S,990667,851,https://www.youtube.com/watch?v=2CSxZUTfre0,collab,collab,False,,,human,2026-05-02 17:50:27,,
bD0EGPYdNHM,全世界只有蘋果總部買得到的產品！蘋果工程師開箱iPhone13包裝｜The DoDo Men 嘟嘟人,2021-10-20T13:00:16Z,pre,PT15M27S,870502,7801,https://www.youtube.com/watch?v=bD0EGPYdNHM,collab,collab,False,,,human,2026-05-02 17:50:27,,
L6AYWFV2A6A,為什麼只佔全美面積0.03%的州會存在！？這裡竟然還有常春藤大學！？｜The DoDo Men 嘟嘟人,2021-10-27T13:00:15Z,pre,PT16M53S,863761,762,https://www.youtube.com/watch?v=L6AYWFV2A6A,collab,collab,False,,,human,2026-05-02 17:50:27,,
MORJ_3qAfIE,洛杉磯IG網美必去景點！挑戰改造3歲姪女變網美！？又慌亂又漫長的一天...｜The DoDo Men 嘟嘟人,2021-11-03T13:00:08Z,pre,PT22M41S,885009,657,https://www.youtube.com/watch?v=MORJ_3qAfIE,collab,collab,False,,,human,2026-05-02 17:50:27,,
yrRCmzXmvQ0,都沒人懂瘦子的苦！我克服多年心魔，終於達到理想體態！｜The DoDo Men 嘟嘟人,2021-11-10T13:00:26Z,pre,PT17M27S,818965,1173,https://www.youtube.com/watch?v=yrRCmzXmvQ0,ian,ian,False,,,human,2026-05-02 17:50:27,,
p0yROzyZY9E,搭沒有門的直升機看紐約超恐怖但超美！被改造到差點認不出來！｜The DoDo Men 嘟嘟人,2021-11-17T13:00:33Z,pre,PT21M17S,720997,557,https://www.youtube.com/watch?v=p0yROzyZY9E,collab,collab,False,,,human,2026-05-02 17:50:27,,
6QKXdAkf3nA,在機場問路人飛去哪，我們直接買機票殺過去！那裡竟然有外星人建築！？｜The DoDo Men 嘟嘟人,2021-11-24T13:00:04Z,pre,PT24M47S,1387547,708,https://www.youtube.com/watch?v=6QKXdAkf3nA,collab,collab,False,,,human,2026-05-02 17:50:27,,
bYR-VNjdZJM,綁架粉絲一起完成人生清單！40萬訂閱見面會只是煙霧彈！？｜The DoDo Men 嘟嘟人,2021-12-01T13:00:31Z,pre,PT15M46S,413291,713,https://www.youtube.com/watch?v=bYR-VNjdZJM,collab,collab,False,,,human,2026-05-02 17:50:27,,
90Fe4DpdK7k,被美國警察帶去荒郊野外射擊！當地美國人還逼我們吃黑蠍子...ft. @HiELIZABENNY ｜The DoDo Men 嘟嘟人,2021-12-08T13:00:06Z,pre,PT19M12S,630799,523,https://www.youtube.com/watch?v=90Fe4DpdK7k,collab,collab,False,,,human,2026-05-02 17:50:27,,
lfyUoCZUuHQ,實測兩歲寶寶大腦發展進度！外甥女也太萌了吧😍 讓舅舅也想當爸爸！｜The DoDo Men 嘟嘟人,2021-12-15T13:00:34Z,pre,PT16M20S,558534,358,https://www.youtube.com/watch?v=lfyUoCZUuHQ,eric,eric,False,,,human,2026-05-02 17:50:27,,
nTbI-jWuia4,合作吧！NIKE！ 直接殺到美國NIKE總部堵員工！｜The DoDo Men 嘟嘟人,2021-12-22T13:00:35Z,pre,PT11M34S,270176,395,https://www.youtube.com/watch?v=nTbI-jWuia4,collab,collab,False,,,human,2026-05-02 17:50:27,,
eotIhdFYjM4,挑戰10個等級的辣醬！超赤裸的你問我答！最想認識的女Youtuber是誰？！｜The DoDo Men 嘟嘟人,2021-12-29T13:00:18Z,pre,PT20M53S,672292,579,https://www.youtube.com/watch?v=eotIhdFYjM4,collab,collab,False,,,human,2026-05-02 17:50:27,,
Mb0w8xiwGQw,扮成聖誕老人在美國高級購物中心逛街！用對方的錢買聖誕禮物！錢包跳脫舒適圈 😂｜The DoDo Men 嘟嘟人,2022-01-05T13:00:10Z,pre,PT19M44S,1196070,646,https://www.youtube.com/watch?v=Mb0w8xiwGQw,collab,collab,False,,,human,2026-05-02 17:50:27,,
itRraQ6muJE,黑歷史超多的童年回憶！小時候差點被姊姊弄死...搬來美國後感情大轉變！｜The DoDo Men 嘟嘟人,2022-01-12T13:00:31Z,pre,PT17M56S,855855,589,https://www.youtube.com/watch?v=itRraQ6muJE,collab,collab,False,,,human,2026-05-02 17:50:27,,
aPscne0w3OI,接受陌生人貼文邀約！ 給六歲小女孩最溫暖的聖誕節！｜The DoDo Men 嘟嘟人,2022-01-19T13:00:01Z,pre,PT16M36S,216398,582,https://www.youtube.com/watch?v=aPscne0w3OI,collab,collab,False,,,human,2026-05-02 17:50:27,,
xjvVwPOKk0k,完成夢想在洛杉磯咖啡廳當實習生！竟然一天要喝十杯咖啡！？挑戰一天學會拉花！｜The DoDo Men 嘟嘟人,2022-01-26T13:00:43Z,pre,PT26M19S,531549,450,https://www.youtube.com/watch?v=xjvVwPOKk0k,eric,eric,False,,,human,2026-05-02 17:50:27,,
Q_jY1s0XeZ8,從蘋果辭職時姐姐超開心？！家人重男輕女超明顯...竟然為了布丁鬧家庭革命！｜The DoDo Men 嘟嘟人,2022-02-09T13:00:11Z,pre,PT13M44S,794944,287,https://www.youtube.com/watch?v=Q_jY1s0XeZ8,ian,ian,False,,,human,2026-05-02 17:50:27,,
OqNgEfKTGzU,叫Siri隨便選一個加州城市！還讓它控制一整天的行程...竟然住到豪華歐式飯店？！｜The DoDo Men 嘟嘟人,2022-02-16T13:00:22Z,pre,PT23M33S,862811,684,https://www.youtube.com/watch?v=OqNgEfKTGzU,eric,eric,False,,,human,2026-05-02 17:50:27,,
KUTiky8_7y4,夏威夷火舞體驗超酷超危險！ABC挑戰聽英文回中文超混亂...我們真的不是故意晶晶體｜The DoDo Men 嘟嘟人,2022-02-23T13:00:17Z,pre,PT23M50S,1035112,986,https://www.youtube.com/watch?v=KUTiky8_7y4,collab,collab,False,,,human,2026-05-02 17:50:27,,
XGH__rAFgHQ,攔計程車給司機決定我們的行程！夏威夷觀光客不知道的秘境！｜The DoDo Men 嘟嘟人,2022-03-02T13:00:18Z,pre,PT24M51S,1032479,505,https://www.youtube.com/watch?v=XGH__rAFgHQ,collab,collab,False,,,human,2026-05-02 17:50:27,,
1yOX-tBli9w,探索太平洋中間的神秘私人島嶼！二戰巨大幽靈船竟然擱淺在這！｜The DoDo Men 嘟嘟人,2022-03-09T13:00:01Z,pre,PT21M26S,1097656,512,https://www.youtube.com/watch?v=1yOX-tBli9w,collab,collab,False,,,human,2026-05-02 17:50:27,,
i6_EeBM9uLY,在美國最高城市嘗試超狂雪上活動！一下飛機就高山症…｜The DoDo Men 嘟嘟人,2022-03-16T13:00:20Z,pre,PT20M7S,662675,489,https://www.youtube.com/watch?v=i6_EeBM9uLY,collab,collab,False,,,human,2026-05-02 17:50:27,,
fSSl3NeguBA,生日驚喜結果是被丟包在機場！還要面對我最大的恐懼😱！以後不想過生日了…｜The DoDo Men 嘟嘟人,2022-03-23T13:00:23Z,pre,PT31M46S,1190642,7703,https://www.youtube.com/watch?v=fSSl3NeguBA,ian,ian,False,,,human,2026-05-02 17:50:27,,
mmtsOqIeYCE,跟美國路人講中文竟然有辦法溝通！？超尷尬的一天...｜The DoDo Men 嘟嘟人,2022-03-30T13:00:33Z,pre,PT17M37S,1164495,1209,https://www.youtube.com/watch?v=mmtsOqIeYCE,collab,collab,False,,,human,2026-05-02 17:50:27,,
